City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,28,19,21,0.27,9,36,49,8
阿克苏地区,67,25,81,0.5,28,61,51,7
阿拉善盟,44,11,17,0.4,18,76,86,6
阿勒泰地区,31,10,14,0.25,5,52,60,13
阿里地区,33,0,2,0.3,5,88,64,8
安康,38,19,37,0.57,12,14,24,10
安庆,46,32,45,0.64,19,53,43,6
鞍山,13,5,11,0.74,15,25,24,6
安顺,49,28,48,1.18,25,42,30,22
安阳,26,11,25,1.28,26,38,44,6
白城,25,10,24,0.4,7,34,30,6
百色,44,20,43,0.75,11,17,16,4
白山,17,9,16,0.4,8,21,12,7
白银,41,13,40,0.65,41,39,59,6
保定,47,19,46,0.6,44,12,34,7
宝鸡,31,12,30,0.3,22,39,45,5
保山,25,16,21,0.55,12,32,48,4
包头,30,7,19,0.72,15,50,58,8
巴彦淖尔,24,13,23,0.67,12,52,43,10
巴中,39,22,38,0.78,14,25,35,4
北海,24,6,16,0.53,6,34,47,5
北京,27,7,19,0.38,16,66,53,2
蚌埠,32,5,9,0.32,10,55,63,7
本溪,14,2,5,0.5,9,39,27,5
毕节,45,25,44,0.65,17,26,22,8
滨州,27,0,5,0.7,14,50,53,3
博州,28,9,26,0.15,9,52,54,6
亳州,32,6,8,0.5,5,51,62,2
沧州,20,8,10,0.3,7,42,39,6
长春,22,11,21,0.49,20,22,8,3
常德,36,9,23,0.55,12,54,70,6
昌都,29,8,22,0.7,11,42,57,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,31,15,30,0.73,27,37,39,7
长沙,39,17,29,0.7,16,80,77,5
常熟,32,11,21,0.57,16,69,62,10
长治,43,23,42,0.98,32,48,48,12
常州,35,19,34,0.73,27,67,50,9
朝阳,19,9,14,0.6,7,30,36,15
潮州,38,23,37,0.77,13,47,59,13
承德,26,15,25,0.73,23,37,23,8
成都,60,36,68,1.03,54,33,56,9
郴州,51,20,50,0.75,36,27,23,30
赤峰,29,6,13,0.45,13,51,56,6
池州,46,22,45,0.7,20,43,35,6
重庆,49,26,48,0.95,51,32,43,8
崇左,30,16,29,0.55,16,14,32,5
楚雄州,43,30,35,0.75,33,7,15,15
滁州,56,18,60,0.5,8,78,68,7
大连,35,14,34,0.42,8,66,69,3
大理州,39,17,29,0.65,33,43,76,5
丹东,22,6,9,0.57,10,30,42,4
大庆,19,12,18,0.4,6,33,28,4
大同,31,8,26,1.58,13,58,60,11
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,30,21,16,0.45,8,14,13,4
达州,48,27,47,0.64,45,33,42,14
德宏州,31,15,30,1.0,12,8,10,10
德阳,67,40,82,0.98,46,64,92,13
德州,24,5,5,0.33,5,49,46,4
定西,58,18,63,0.4,38,14,15,10
迪庆州,20,11,19,0.6,11,23,34,15
东莞,39,17,38,0.78,35,28,32,8
东营,26,5,2,0.2,2,51,50,4
鄂尔多斯,28,7,27,0.9,26,45,50,16
恩施州,38,18,37,0.7,16,18,30,3
鄂州,53,23,54,2.0,26,70,60,15
防城港,22,8,21,0.7,14,31,40,14
佛山,25,15,24,0.76,27,33,42,10
抚顺,19,7,9,0.4,8,41,36,8
阜新,22,7,11,0.34,13,33,42,4
